filename,head_top,r_ankle,r_knee,r_hip,l_hip,l_knee,l_ankle,r_wrist,r_elbow,r_shoulder,l_shoulder,l_elbow,l_wrist,head_rect_x1,head_rect_y1,head_rect_x2,head_rect_y2,joint_pos_head_top_x,joint_pos_head_top_y,joint_pos_r_ankle_x,joint_pos_r_ankle_y,joint_pos_r_knee_x,joint_pos_r_knee_y,joint_pos_r_hip_x,joint_pos_r_hip_y,joint_pos_l_hip_x,joint_pos_l_hip_y,joint_pos_l_knee_x,joint_pos_l_knee_y,joint_pos_l_ankle_x,joint_pos_l_ankle_y,joint_pos_r_wrist_x,joint_pos_r_wrist_y,joint_pos_r_elbow_x,joint_pos_r_elbow_y,joint_pos_r_shoulder_x,joint_pos_r_shoulder_y,joint_pos_l_shoulder_x,joint_pos_l_shoulder_y,joint_pos_l_elbow_x,joint_pos_l_elbow_y,joint_pos_l_wrist_x,joint_pos_l_wrist_y
005808361.jpg,0,1,1,1,1,1,1,1,1,1,1,1,1,914.0,79.0,1031.0,237.0,962.2409,80.0306,804.0,711.0,816.0,510.0,908.0,438.0,1040.0,454.0,906.0,528.0,883.0,707.0,869.0,214.0,798.0,340.0,902.0,253.0,1067.0,253.0,1167.0,353.0,1142.0,478.0
021233911.jpg,0,1,1,1,1,1,1,1,1,1,1,1,1,374.0,87.0,467.0,193.0,435.228,85.5511,357.0,353.0,369.0,330.0,366.0,296.0,443.0,308.0,470.0,332.0,435.0,371.0,331.0,252.0,354.0,261.0,357.0,200.0,451.0,202.0,484.0,246.0,468.0,253.0
018182497.jpg,0,1,1,1,1,1,1,1,1,1,1,1,1,256.0,99.0,346.0,215.0,286.7564,100.0256,325.0,349.0,341.0,327.0,326.0,302.0,385.0,277.0,409.0,302.0,399.0,377.0,318.0,325.0,280.0,288.0,267.0,231.0,360.0,187.0,406.0,218.0,374.0,258.0
018340451.jpg,0,1,1,1,1,1,1,1,1,1,1,1,1,332.0,125.0,376.0,186.0,362.3756,126.6042,423.0,378.0,411.0,288.0,344.0,259.0,394.0,251.0,456.0,283.0,453.0,369.0,381.0,264.0,337.0,247.0,316.0,189.0,372.0,190.0,394.0,239.0,421.0,257.0
030424224.jpg,0,1,1,1,1,1,1,1,1,1,1,1,1,327.0,95.0,372.0,160.0,360.3349,97.7913,324.0,406.0,322.0,291.0,293.0,262.0,355.0,267.0,401.0,292.0,394.0,404.0,363.0,167.0,319.0,205.0,298.0,168.0,369.0,172.0,390.0,221.0,398.0,179.0
030424224.jpg,0,1,1,1,1,1,1,1,1,1,1,1,1,508.0,104.0,559.0,173.0,532.0907,104.2081,476.0,407.0,476.0,295.0,510.0,264.0,564.0,265.0,581.0,303.0,575.0,412.0,508.0,183.0,492.0,238.0,493.0,173.0,577.0,176.0,591.0,235.0,556.0,190.0
052475643.jpg,0,1,1,1,1,1,1,1,1,1,1,1,1,316.0,105.0,361.0,163.0,347.0055,105.8949,317.0,412.0,318.0,299.0,290.0,274.0,353.0,275.0,403.0,299.0,394.0,409.0,296.0,135.0,281.0,208.0,296.0,167.0,358.0,177.0,387.0,236.0,392.0,167.0
052475643.jpg,0,1,1,1,1,1,1,1,1,1,1,1,1,495.0,105.0,551.0,172.0,518.6137,103.848,478.0,407.0,473.0,306.0,495.0,270.0,567.0,273.0,580.0,308.0,584.0,405.0,494.0,186.0,468.0,239.0,479.0,182.0,577.0,173.0,587.0,230.0,553.0,180.0
036636184.jpg,0,1,1,1,1,1,1,1,1,1,1,1,1,401.0,1.0,471.0,99.0,392.9127,28.4564,525.0,478.0,529.0,369.0,517.0,220.0,570.0,204.0,574.0,371.0,581.0,480.0,416.0,251.0,469.0,201.0,459.0,104.0,516.0,48.0,588.0,132.0,587.0,242.0
060754485.jpg,0,1,1,1,1,1,1,1,1,1,1,1,1,578.0,109.0,656.0,226.0,591.3663,117.4341,694.0,684.0,685.0,579.0,670.0,437.0,747.0,421.0,751.0,574.0,768.0,717.0,488.0,351.0,551.0,307.0,600.0,242.0,698.0,217.0,767.0,310.0,790.0,405.0
